step,epoch,loss,chosen,rejected,margin,accuracy,chosen_ma20,rejected_ma20,margin_ma20
1,0.012519561815336464,0.6931,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.025039123630672927,0.6931,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.03755868544600939,0.7056,0.011827660724520683,0.034422364085912704,-0.02259470522403717,0.375,0.003942553574840228,0.011474121361970901,-0.00753156840801239
4,0.050078247261345854,0.7234,-0.024900348857045174,0.03263787180185318,-0.0575382225215435,0.25,-0.0032681720331311226,0.01676505897194147,-0.02003323193639517
5,0.06259780907668232,0.6878,-0.008734369650483131,-0.02062387578189373,0.011889506131410599,0.5,-0.004361411556601524,0.009287272021174431,-0.013648684322834014
6,0.07511737089201878,0.712,-0.011286593973636627,0.025559330359101295,-0.03684592247009277,0.25,-0.005515608626107375,0.011999281744162241,-0.017514890680710476
7,0.08763693270735524,0.6823,0.01950106769800186,-0.0035173422656953335,0.023018408566713333,0.625,-0.0019417977226631983,0.009782621171325445,-0.011724419359649931
8,0.10015649452269171,0.7331,-0.03855147212743759,0.03801574930548668,-0.07656721770763397,0.25,-0.006518007023259997,0.0133117621880956,-0.019829769153147936
9,0.11267605633802817,0.7187,-0.03410514444112778,0.012350846081972122,-0.0464559905230999,0.25,-0.009583244514134195,0.013204993731859658,-0.02278823819425371
10,0.12519561815336464,0.6933,0.03188285976648331,0.029944896697998047,0.0019379612058401108,0.5,-0.005436634086072445,0.014878984028473496,-0.020315618254244328
11,0.13771517996870108,0.7032,-0.022186994552612305,-0.0033979415893554688,-0.018789056688547134,0.375,-0.00695939412848516,0.01321744533594359,-0.020176839930090038
12,0.15023474178403756,0.704,-0.01951570436358452,0.00021521933376789093,-0.01973092183470726,0.5,-0.008005753314743439,0.012133926502428949,-0.020139680088808138
13,0.162754303599374,0.6779,0.007387256249785423,-0.024798931553959846,0.03218618780374527,0.625,-0.006821675655933527,0.009292937421168272,-0.016114613327842493
14,0.1752738654147105,0.6828,0.013580037280917168,-0.0086212158203125,0.022201253101229668,0.625,-0.005364410446158477,0.008013355046776789,-0.013377765725765909
15,0.18779342723004694,0.6928,-0.010777897201478481,-0.012491392903029919,0.0017134957015514374,0.5,-0.0057253095631798106,0.006646371850123008,-0.01237168163061142
16,0.20031298904538342,0.7031,-0.04399576038122177,-0.026561999693512917,-0.017433766275644302,0.375,-0.008117212739307433,0.004570848628645763,-0.012688061920925975
17,0.21283255086071987,0.6898,0.007537174969911575,-4.434492439031601e-05,0.007581519894301891,0.625,-0.007196366403471021,0.004299366654937758,-0.011495733578853747
18,0.22535211267605634,0.6836,0.002300739288330078,-0.01878226362168789,0.021083002910017967,0.625,-0.0066687494205931825,0.0030170538617918887,-0.00968580377391643
19,0.2378716744913928,0.6976,-0.021117161959409714,-0.014172505587339401,-0.0069446563720703125,0.5,-0.007429192185794052,0.0021123402065744527,-0.009541532858029791
20,0.25039123630672927,0.6963,-0.01640639267861843,-0.010649776086211205,-0.005756615661084652,0.5,-0.007878052210435272,0.0014742343919351697,-0.009352286998182534
21,0.26291079812206575,0.696,0.015501689165830612,0.017763281241059303,-0.0022615892812609673,0.375,-0.0071029677521437405,0.0023623984539881348,-0.009465366462245583
22,0.27543035993740217,0.6772,0.01330974418669939,-0.01970062218606472,0.033010367304086685,0.875,-0.006437480542808771,0.001377367344684899,-0.00781484809704125
23,0.28794992175273865,0.682,0.029921911656856537,0.006951736751943827,0.022970175370573997,0.5,-0.005532767996191979,3.835977986454964e-06,-0.0055366040673106905
24,0.3004694835680751,0.7054,0.016642093658447266,0.037415407598018646,-0.02077331580221653,0.5,-0.0034556458704173565,0.00024271276779472828,-0.0036983587313443424
25,0.3129890453834116,0.6664,0.051699213683605194,-0.003836536779999733,0.05553574860095978,0.875,-0.0004339667037129402,0.0010820797178894281,-0.0015160466078668832
26,0.325508607198748,0.7013,0.02240314520895481,0.03686203807592392,-0.014458894729614258,0.25,0.0012505202554166316,0.0016472151037305593,-0.0003966952208429575
27,0.3380281690140845,0.6682,0.06345577538013458,0.008220624178647995,0.05523514747619629,0.75,0.0034482556395232676,0.0022341134259477257,0.0012141417246311903
28,0.350547730829421,0.6922,0.04157395660877228,0.038634251803159714,0.002939700148999691,0.625,0.007454527076333761,0.0022650385508313775,0.005189487617462874
29,0.36306729264475746,0.6559,0.0592130646109581,-0.017235755920410156,0.07644882053136826,0.875,0.012120437528938054,0.0007857084507122636,0.01133472817018628
30,0.3755868544600939,0.6446,0.07519721984863281,-0.027495909482240677,0.10269312560558319,0.875,0.01428615553304553,-0.0020863318582996725,0.016372486390173434
