path,bytes,sha256
"Submission/Week4/Day17_Preference_Data_Methodology/Day17_Validation.json",186,bc07abe4f75980b13e7a99c7eef7550ebf7764a55e537f01e2d6976b8ed68edb
"Submission/Week4/Day17_Preference_Data_Methodology/Preference_Data_Construction_Guide.md",12377,3bcb2adce4bc9f09e0eae7bab2fbac37a3029abca0f8001b8ec3854db2fcd858
"Submission/Week4/Day17_Preference_Data_Methodology/Preference_Pair_Examples.json",11076,c08aa1cd131fc3fb54d37c388ea024c840c3a2da360325d73cef3916f7ec0f53
"Submission/Week4/Day17_Preference_Data_Methodology/Preference_Taxonomy.json",6783,c5f443c68124d595822eb7c083e4cf6f7009fbcf0cb17c3aca4f6d2563e6908f
"Submission/Week4/Day17_Preference_Data_Methodology/README.md",1777,186ec9a10f51e8c9c33836e9eb90185ca6dda922e8278addb4fb76dd9cdcd7d0
"Submission/Week4/Day18_Preference_Dataset/Corrective_DPO_Train.json",2210940,99f90060ba8b0904e561e14296722e46e1aff55f8f61ab16a0c173a720e5cfcc
"Submission/Week4/Day18_Preference_Dataset/Corrective_DPO_Validation.json",257639,8af26c924daee6a47daf61f44ee0d17b082d6ec55cd52e7bdbc761a7b4f84e60
"Submission/Week4/Day18_Preference_Dataset/Corrective_Data_Validation.json",318,d921c24d1fb117282e3024161faee21eb40fac4e02c076c38825cdf54cbefac1
"Submission/Week4/Day18_Preference_Dataset/Corrective_Dataset_Info.json",491,ab03955246e4a5fc3b86602a87697ea0e92b782e36a96714b0c812b44cf33f8f
"Submission/Week4/Day18_Preference_Dataset/DPO_Train.json",1984992,88c6a176eda7df50f5ffb0e01e78610c99178e71e14518d82b6c0bd20a50c320
"Submission/Week4/Day18_Preference_Dataset/DPO_Validation.json",218769,5626226d8d0aff49cec6119de63720692cb3f3f27091bf94332524cd83a53372
"Submission/Week4/Day18_Preference_Dataset/Data_Validation.json",409,b097777f455b913d1f30f073e48540a5a17d5c4d7470379d70ad4e31e9bb2641
"Submission/Week4/Day18_Preference_Dataset/Dataset_Info.json",479,27a968799a68eec5500fd7729067e7d091399c23776cacc419dd7f08bb9ec2a8
"Submission/Week4/Day18_Preference_Dataset/Dataset_Statistics.json",730,58a987e60b48849e182ea007b08f8637c4e194acfd59eb7295246ca2684d1b30
"Submission/Week4/Day18_Preference_Dataset/LLaMAFactory_Schema_Smoke.json",617,fe6b9fff700e682177e470012a1dccf7c99f4f956676456f25fe023a0e002dcf
"Submission/Week4/Day18_Preference_Dataset/Length_Statistics.json",1050,2c10e68e2d206061d12be58c492722cc73d234505a4f0f9a35bc4bfde562fb51
"Submission/Week4/Day18_Preference_Dataset/Merged_Preference_Dataset.json",2203758,5971bfa47ecd4162cdaedc15f531db0204ffe0b979dcffa2269656bd335f1c82
"Submission/Week4/Day18_Preference_Dataset/Preference_Split.csv",71150,4cc41b4165dd5a419062d82753aaeda8bb42b35b218e478af519e93692503461
"Submission/Week4/Day18_Preference_Dataset/README.md",3905,5297da55a8fe579f72e81236438871fd5c9a1e2004dc2a9422b1d344267c83b8
"Submission/Week4/Day18_Preference_Dataset/Self_Built_Review.csv",40347,27700a1c3eca654d987c32c46f7e98fd8fbf63bc168d73bfe1780a5f0af1a9d0
"Submission/Week4/Day18_Preference_Dataset/UltraFeedback_Provenance.json",1195,6687ec67cc768cc2387d5890b95c639072edf6450890ba2e14454cc7e3334d48
"Submission/Week4/Day19_DPO_Training/Adapter_Manifest.json",486,f8c41f8096b61453aa6cce8c72c8a594682d80531c756ddb7b35cf2d880cf7e9
"Submission/Week4/Day19_DPO_Training/Corrective_Development_Review.json",3511,8d7b65fe8cf1a6990700faf59f9a1fee0f02ad61d5ff7c0bdbea163afc7bf932
"Submission/Week4/Day19_DPO_Training/DPO_Config.yaml",1336,dff7f256e162a2c0ec9e884aa63bab29aa3e40748939664c4f75f315d30933a9
"Submission/Week4/Day19_DPO_Training/DPO_Explicit_Reference_Config.yaml",1484,ce98f770ebaa4f5d58f7a23737a809286b4d12882930255777c057ab2d9608ac
"Submission/Week4/Day19_DPO_Training/DPO_Metrics_By_Step.csv",9440,55c41c3c99494bcbb5c9c3eda78c156a46c67ac9fe27fe7addf16b53a9418e13
"Submission/Week4/Day19_DPO_Training/DPO_Training_Summary.json",3020,87c30f7d12161ec3210e816a4c564dfc6b59a6228905f083c287a2a9c50c4659
"Submission/Week4/Day19_DPO_Training/Launch_Log.txt",63534,cb3752b8513a929f544494a6222ef8dcf083edfdce5943aaafce0486439189c0
"Submission/Week4/Day19_DPO_Training/README.md",3929,ac2a998c3c854b11a16089dfc9eee8731a88114c7baa217f45adfb0635e07b04
"Submission/Week4/Day19_DPO_Training/Reference_Model_Decision.json",2068,94dcce45bf82bbb642b3d0378f947fe77560f3c7eb5a52ae5ea6596116799ae3
"Submission/Week4/Day20_DPO_Merge_and_Evaluation/Business_Quality_Comparison.csv",14737,a265ec5a1873410c3ea4a9ab178cc6ad3fb5dbb19e7d0c93e7b3b7d2bda7628b
"Submission/Week4/Day20_DPO_Merge_and_Evaluation/Business_Quality_Summary.json",851,71d8837964e91f984800fa7a3a843028774e8d695902a96f43e035ff43200c59
"Submission/Week4/Day20_DPO_Merge_and_Evaluation/Evaluation_Config.json",725,b2bc0d6579a18d56d64efecea01fc090d38a0080cf432957b4fefad99ea58f5f
"Submission/Week4/Day20_DPO_Merge_and_Evaluation/Evaluation_Prompts.json",3002,841aeb528f3613c789b14f13b1e550e17f5acdd6fb62f71ab30fd7576be11ca8
