image_id,split,category,repository,revision,source_path,image_relative_path,source_page_url,download_url,api_url,author,license,license_url,sha256,file_bytes,width,height,image_format,mime_type
natural_scene-01,train,natural_scene,scikit-image,e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,skimage/data/astronaut.png,images/train/natural_scene-01.png,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/astronaut.png,https://raw.githubusercontent.com/scikit-image/scikit-image/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/astronaut.png,https://api.github.com/repos/scikit-image/scikit-image/contents/skimage/data/astronaut.png?ref=e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,scikit-image team and credited sample-data contributors,BSD-3-Clause,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/LICENSE.txt,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5,791555,512,512,PNG,image/png
natural_scene-02,train,natural_scene,scikit-image,e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,skimage/data/camera.png,images/train/natural_scene-02.png,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/camera.png,https://raw.githubusercontent.com/scikit-image/scikit-image/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/camera.png,https://api.github.com/repos/scikit-image/scikit-image/contents/skimage/data/camera.png?ref=e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,scikit-image team and credited sample-data contributors,BSD-3-Clause,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/LICENSE.txt,b0793d2adda0fa6ae899c03989482bff9a42d3d5690fc7e3648f2795d730c23a,139512,512,512,PNG,image/png
natural_scene-03,train,natural_scene,scikit-image,e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,skimage/data/chelsea.png,images/train/natural_scene-03.png,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/chelsea.png,https://raw.githubusercontent.com/scikit-image/scikit-image/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/chelsea.png,https://api.github.com/repos/scikit-image/scikit-image/contents/skimage/data/chelsea.png?ref=e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,scikit-image team and credited sample-data contributors,BSD-3-Clause,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/LICENSE.txt,596aa1e7cb875eb79f437e310381d26b338a81c2da23439704a73c4651e8c4bb,240512,451,300,PNG,image/png
natural_scene-04,train,natural_scene,scikit-image,e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,skimage/data/coffee.png,images/train/natural_scene-04.png,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/coffee.png,https://raw.githubusercontent.com/scikit-image/scikit-image/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/coffee.png,https://api.github.com/repos/scikit-image/scikit-image/contents/skimage/data/coffee.png?ref=e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,scikit-image team and credited sample-data contributors,BSD-3-Clause,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/LICENSE.txt,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,466706,600,400,PNG,image/png
natural_scene-05,train,natural_scene,scikit-image,e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,skimage/data/coins.png,images/train/natural_scene-05.png,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/coins.png,https://raw.githubusercontent.com/scikit-image/scikit-image/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/coins.png,https://api.github.com/repos/scikit-image/scikit-image/contents/skimage/data/coins.png?ref=e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,scikit-image team and credited sample-data contributors,BSD-3-Clause,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/LICENSE.txt,f8d773fc9cfa6f4d8e5942dc34d0a0788fcaed2a4fefbbed0aef5398d7ef4cba,75825,384,303,PNG,image/png
natural_scene-06,train,natural_scene,scikit-image,e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,skimage/data/brick.png,images/train/natural_scene-06.png,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/brick.png,https://raw.githubusercontent.com/scikit-image/scikit-image/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/brick.png,https://api.github.com/repos/scikit-image/scikit-image/contents/skimage/data/brick.png?ref=e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,scikit-image team and credited sample-data contributors,BSD-3-Clause,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/LICENSE.txt,7966caf324f6ba843118d98f7a07746d22f6a343430add0233eca5f6eaaa8fcf,106634,512,512,PNG,image/png
natural_scene-07,train,natural_scene,scikit-image,e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,skimage/data/grass.png,images/train/natural_scene-07.png,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/grass.png,https://raw.githubusercontent.com/scikit-image/scikit-image/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/grass.png,https://api.github.com/repos/scikit-image/scikit-image/contents/skimage/data/grass.png?ref=e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,scikit-image team and credited sample-data contributors,BSD-3-Clause,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/LICENSE.txt,b6b6022426b38936c43a4ac09635cd78af074e90f42ffa8227ac8b7452d39f89,217893,512,512,PNG,image/png
natural_scene-08,train,natural_scene,scikit-image,e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,skimage/data/gravel.png,images/train/natural_scene-08.png,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/gravel.png,https://raw.githubusercontent.com/scikit-image/scikit-image/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/gravel.png,https://api.github.com/repos/scikit-image/scikit-image/contents/skimage/data/gravel.png?ref=e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,scikit-image team and credited sample-data contributors,BSD-3-Clause,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/LICENSE.txt,c48615b451bf1e606fbd72c0aa9f8cc0f068ab7111ef7d93bb9b0f2586440c12,194247,512,512,PNG,image/png
natural_scene-09,train,natural_scene,scikit-image,e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,skimage/data/horse.png,images/train/natural_scene-09.png,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/horse.png,https://raw.githubusercontent.com/scikit-image/scikit-image/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/horse.png,https://api.github.com/repos/scikit-image/scikit-image/contents/skimage/data/horse.png?ref=e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,scikit-image team and credited sample-data contributors,BSD-3-Clause,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/LICENSE.txt,c7fb60789fe394c485f842291ea3b21e50d140f39d6dcb5fb9917cc178225455,16633,400,328,PNG,image/png
natural_scene-10,train,natural_scene,scikit-image,e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,skimage/data/hubble_deep_field.jpg,images/train/natural_scene-10.jpg,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/hubble_deep_field.jpg,https://raw.githubusercontent.com/scikit-image/scikit-image/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/skimage/data/hubble_deep_field.jpg,https://api.github.com/repos/scikit-image/scikit-image/contents/skimage/data/hubble_deep_field.jpg?ref=e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae,scikit-image team and credited sample-data contributors,BSD-3-Clause,https://github.com/scikit-image/scikit-image/blob/e8a42ba85aaf5fd9322ef9ca51bc21063b22fcae/LICENSE.txt,3a19c5dd8a927a9334bb1229a6d63711b1c0c767fb27e2286e7c84a3e2c2f5f4,527940,1000,872,JPEG,image/jpeg
